Gene.ID,Gene.Name,Undifferentiated ,Differentiated,FDR,AveExpr,P value,SRR3133925_nodiff_rep1,SRR3133926_nodiff_rep2,SRR3133927_nodiff_rep3,SRR3133928_diff_rep1,SRR3133929_diff_rep2,SRR3133930_diff_rep3,SRR3133925_nodiff_rep1 CPM,SRR3133926_nodiff_rep2 CPM,SRR3133927_nodiff_rep3 CPM,SRR3133928_diff_rep1 CPM,SRR3133929_diff_rep2 CPM,SRR3133930_diff_rep3 CPM
ENSG00000213923,CSNK1E,0,0.053838544746819,0.59562067301212,6.08517391018514,0.525980142173117,1469,1437,1218,1400,1496,1597,67.312,69.470,64.585,69.489,64.068,72.683
ENSG00000162738,VANGL2,0,-0.0444443033967614,0.5956668575643,7.46972063970239,0.526103543546389,3889,3827,3412,3396,4253,3719,178.199,185.013,180.922,168.561,182.139,169.259
ENSG00000119685,TTLL5,0,-0.0633214617086804,0.5956668575643,5.13188333475686,0.526090421795816,753,777,687,580,854,818,34.503,37.563,36.428,28.788,36.573,37.229
ENSG00000180185,FAHD1,0,-0.0481090693736013,0.595897864388732,5.25533680182124,0.526348897275955,861,810,729,743,838,860,39.452,39.159,38.655,36.879,35.888,39.140
ENSG00000134259,NGF,0,0.464415109783211,0.595910080684653,-2.34606382260265,0.526401013020881,2,4,3,11,4,2,0.092,0.193,0.159,0.546,0.171,0.091
ENSG00000054690,PLEKHH1,0,-0.0788529930839044,0.596011874451407,4.73651907575223,0.526532265508771,639,618,453,442,670,593,29.280,29.877,24.020,21.939,28.693,26.989
ENSG00000164659,KIAA1324L,0,-0.0409205378128581,0.596761442728445,6.42386969451831,0.527235837750374,1896,1817,1668,1640,1952,1913,86.877,87.841,88.446,81.402,83.596,87.064
ENSG00000196535,MYO18A,0,0.0726168621571333,0.597487411236644,6.37882635122989,0.527918662036483,1807,1825,1411,1415,2219,1997,82.799,88.228,74.818,70.234,95.031,90.887
ENSG00000126705,AHDC1,0,0.07068965049403,0.597523668054036,5.38708591472809,0.527992134420563,892,928,717,719,1095,1008,40.873,44.863,38.019,35.688,46.894,45.876
ENSG00000235272,RAMACL,0,-0.0774412190122136,0.598198039074874,3.32675753729201,0.528629515390508,230,193,214,181,220,234,10.539,9.330,11.347,8.984,9.422,10.650
ENSG00000148429,USP6NL,0,-0.0609869876035996,0.598313604718127,5.18096624545397,0.528773133046311,808,763,715,760,818,729,37.024,36.887,37.913,37.723,35.032,33.178
ENSG00000204954,C12orf73,0,0.0627260889753987,0.598351912410244,3.79259873716928,0.528848482917376,314,280,246,255,355,315,14.388,13.536,13.044,12.657,15.203,14.336
ENSG00000174996,KLC2,0,0.0558242680833603,0.598746737460514,7.07254319141781,0.529238967799703,2945,2961,2297,2772,3090,3047,134.944,143.147,121.799,137.589,132.332,138.675
ENSG00000139645,ANKRD52,0,0.0522179778468068,0.598777005556262,7.72297243902951,0.529307246173764,4507,4519,3818,4070,5494,4498,206.517,218.467,202.450,202.016,235.286,204.713
ENSG00000148158,SNX30,0,-0.0651479334319465,0.598897653511137,4.18336649990223,0.52945542905409,384,378,385,341,443,372,17.595,18.274,20.415,16.926,18.972,16.930
ENSG00000174469,CNTNAP2,0,-0.1232478127787,0.59892316889253,3.86280890398318,0.52951952012558,327,291,315,354,314,248,14.984,14.068,16.703,17.571,13.447,11.287
ENSG00000153046,CDYL,0,-0.0567902736325827,0.599158296194628,4.7504969767812,0.52976895121231,625,572,502,516,661,544,28.638,27.653,26.619,25.612,28.308,24.758
ENSG00000125740,FOSB,0,-0.288765178885246,0.599433772453014,-0.155897826840608,0.530054093796698,19,15,28,18,27,10,0.871,0.725,1.485,0.893,1.156,0.455
ENSG00000180257,ZNF816,0,0.07831796260347,0.599874965030127,3.06531170203178,0.530485822057155,183,159,160,167,184,208,8.385,7.687,8.484,8.289,7.880,9.466
ENSG00000138614,INTS14,0,0.0600388475886513,0.599898765801834,5.53846834180801,0.530548471586046,1008,902,900,1005,1032,1042,46.188,43.606,47.723,49.883,44.196,47.423
ENSG00000188981,MSANTD1,0,0.296546270454318,0.599913539005125,-0.472463119893171,0.530603139838514,16,17,8,8,27,21,0.733,0.822,0.424,0.397,1.156,0.956
ENSG00000117143,UAP1,0,-0.0476925311104965,0.599978332590923,5.61236097004283,0.530770919683686,1089,989,995,884,1151,1103,49.899,47.812,52.760,43.878,49.293,50.200
ENSG00000160973,FOXH1,0,0.325049404708875,0.599978332590923,-1.86018293419862,0.530754287882188,5,6,3,10,6,4,0.229,0.290,0.159,0.496,0.257,0.182
ENSG00000171119,NRTN,0,-0.131907760896942,0.599978332590923,2.35463433373764,0.530785269685326,119,106,107,68,139,120,5.453,5.124,5.674,3.375,5.953,5.461
ENSG00000154781,CCDC174,0,0.054361238396738,0.600017749786886,4.8194316262761,0.530861751163737,645,543,528,525,674,678,29.555,26.251,27.997,26.059,28.865,30.857
